2023-05-22 18:38: Experiment log path in: C:\Users\Jesse\Desktop\´ð±ç\Traffic_models\TARGCN_db\model\experiments\PEMS03\20230522183830
2023-05-22 18:38: Train Epoch 0: 0/490 Loss: 191.658142
2023-05-22 18:38: Train Epoch 0: 20/490 Loss: 129.544037
2023-05-22 18:38: Train Epoch 0: 40/490 Loss: 153.266586
2023-05-22 18:38: Train Epoch 0: 60/490 Loss: 138.306183
2023-05-22 18:38: Train Epoch 0: 80/490 Loss: 89.546188
2023-05-22 18:38: Train Epoch 0: 100/490 Loss: 93.908081
2023-05-22 18:38: Train Epoch 0: 120/490 Loss: 57.838268
2023-05-22 18:39: Train Epoch 0: 140/490 Loss: 53.944122
2023-05-22 18:39: Train Epoch 0: 160/490 Loss: 30.890179
2023-05-22 18:39: Train Epoch 0: 180/490 Loss: 29.722931
2023-05-22 18:39: Train Epoch 0: 200/490 Loss: 24.194260
2023-05-22 18:39: Train Epoch 0: 220/490 Loss: 23.732590
2023-05-22 18:39: Train Epoch 0: 240/490 Loss: 26.025465
2023-05-22 18:39: Train Epoch 0: 260/490 Loss: 24.034264
2023-05-22 18:39: Train Epoch 0: 280/490 Loss: 21.059223
2023-05-22 18:39: Train Epoch 0: 300/490 Loss: 20.703962
2023-05-22 18:39: Train Epoch 0: 320/490 Loss: 22.060499
2023-05-22 18:39: Train Epoch 0: 340/490 Loss: 20.749567
2023-05-22 18:39: Train Epoch 0: 360/490 Loss: 19.724319
2023-05-22 18:39: Train Epoch 0: 380/490 Loss: 20.247450
2023-05-22 18:39: Train Epoch 0: 400/490 Loss: 23.896883
