2023-05-22 18:45: Experiment log path in: C:\Users\Jesse\Desktop\´ð±ç\Traffic_models\TARGCN_db\model\experiments\PEMS03\20230522184510
2023-05-22 18:45: Train Epoch 0: 0/490 Loss: 191.658142
2023-05-22 18:45: Train Epoch 0: 20/490 Loss: 129.769928
2023-05-22 18:45: Train Epoch 0: 40/490 Loss: 154.248398
2023-05-22 18:45: Train Epoch 0: 60/490 Loss: 139.447327
2023-05-22 18:45: Train Epoch 0: 80/490 Loss: 94.518616
2023-05-22 18:45: Train Epoch 0: 100/490 Loss: 104.948540
2023-05-22 18:45: Train Epoch 0: 120/490 Loss: 74.272118
2023-05-22 18:45: Train Epoch 0: 140/490 Loss: 81.049164
2023-05-22 18:45: Train Epoch 0: 160/490 Loss: 57.559982
2023-05-22 18:45: Train Epoch 0: 180/490 Loss: 57.461220
2023-05-22 18:45: Train Epoch 0: 200/490 Loss: 41.103512
2023-05-22 18:45: Train Epoch 0: 220/490 Loss: 37.785854
2023-05-22 18:46: Train Epoch 0: 240/490 Loss: 39.960167
2023-05-22 18:46: Train Epoch 0: 260/490 Loss: 38.630238
2023-05-22 18:46: Train Epoch 0: 280/490 Loss: 30.374786
2023-05-22 18:46: Train Epoch 0: 300/490 Loss: 25.831533
2023-05-22 18:46: Train Epoch 0: 320/490 Loss: 31.618414
2023-05-22 18:46: Train Epoch 0: 340/490 Loss: 25.587015
2023-05-22 18:46: Train Epoch 0: 360/490 Loss: 24.995853
2023-05-22 18:46: Train Epoch 0: 380/490 Loss: 24.026035
2023-05-22 18:46: Train Epoch 0: 400/490 Loss: 30.923098
2023-05-22 18:46: Train Epoch 0: 420/490 Loss: 20.845886
2023-05-22 18:46: Train Epoch 0: 440/490 Loss: 19.733866
2023-05-22 18:46: Train Epoch 0: 460/490 Loss: 23.540926
2023-05-22 18:46: Train Epoch 0: 480/490 Loss: 18.357288
2023-05-22 18:46: **********Train Epoch 0: averaged Loss: 60.034602, tf_ratio: 1.000000
2023-05-22 18:47: **********Val Epoch 0: average Loss: 21.712462
2023-05-22 18:47: ******Current best model saved:model_para/PEMS03/epoch_0.pth!
2023-05-22 18:47: Train Epoch 1: 0/490 Loss: 21.243580
2023-05-22 18:47: Train Epoch 1: 20/490 Loss: 20.389181
2023-05-22 18:47: Train Epoch 1: 40/490 Loss: 22.643465
2023-05-22 18:47: Train Epoch 1: 60/490 Loss: 20.674578
2023-05-22 18:47: Train Epoch 1: 80/490 Loss: 21.304329
2023-05-22 18:47: Train Epoch 1: 100/490 Loss: 23.894253
2023-05-22 18:47: Train Epoch 1: 120/490 Loss: 23.622766
2023-05-22 18:47: Train Epoch 1: 140/490 Loss: 16.426102
2023-05-22 18:47: Train Epoch 1: 160/490 Loss: 22.353725
2023-05-22 18:47: Train Epoch 1: 180/490 Loss: 21.146923
2023-05-22 18:47: Train Epoch 1: 200/490 Loss: 20.310102
