2023-05-23 13:38: Experiment log path in: C:\Users\Jesse\Desktop\´ð±ç\Traffic_models\TARGCN_db\model\experiments\PEMS03\20230523133812
2023-05-23 13:38: Horizon 01, MAE: 13.30, RMSE: 23.01, MAPE: 334351.9688%
2023-05-23 13:38: Horizon 02, MAE: 13.80, RMSE: 23.98, MAPE: 353061.0938%
2023-05-23 13:38: Horizon 03, MAE: 14.30, RMSE: 24.94, MAPE: 376916.4688%
2023-05-23 13:38: Horizon 04, MAE: 14.70, RMSE: 25.77, MAPE: 393069.5625%
2023-05-23 13:38: Horizon 05, MAE: 15.03, RMSE: 26.45, MAPE: 401210.3438%
2023-05-23 13:38: Horizon 06, MAE: 15.32, RMSE: 26.99, MAPE: 402322.8125%
2023-05-23 13:38: Horizon 07, MAE: 15.62, RMSE: 27.51, MAPE: 430107.8125%
2023-05-23 13:38: Horizon 08, MAE: 15.91, RMSE: 28.00, MAPE: 451004.6875%
2023-05-23 13:38: Horizon 09, MAE: 16.17, RMSE: 28.46, MAPE: 463003.8125%
2023-05-23 13:38: Horizon 10, MAE: 16.42, RMSE: 28.90, MAPE: 466745.9375%
2023-05-23 13:38: Horizon 11, MAE: 16.69, RMSE: 29.33, MAPE: 480389.2188%
2023-05-23 13:38: Horizon 12, MAE: 17.06, RMSE: 29.83, MAPE: 492434.4688%
2023-05-23 13:38: MAE: 15.36, RMSE: 27.01, MAPE: 420384.7500%
