2023-07-16 23:44: Experiment log path in: D:\旧电脑文件\毕业相关\答辩\Traffic_models\TARGCN_db\model\experiments\PEMS03\20230716234458
2023-07-16 23:45: Horizon 01, MAE: 13.48, RMSE: 23.15, MAPE: 428544.9375%
2023-07-16 23:45: Horizon 02, MAE: 13.92, RMSE: 24.05, MAPE: 434946.1562%
2023-07-16 23:45: Horizon 03, MAE: 14.36, RMSE: 24.93, MAPE: 450654.8438%
2023-07-16 23:45: Horizon 04, MAE: 14.78, RMSE: 25.76, MAPE: 478264.8438%
2023-07-16 23:45: Horizon 05, MAE: 15.10, RMSE: 26.41, MAPE: 484946.7188%
2023-07-16 23:45: Horizon 06, MAE: 15.42, RMSE: 27.00, MAPE: 485803.2188%
2023-07-16 23:45: Horizon 07, MAE: 15.69, RMSE: 27.49, MAPE: 479632.4375%
2023-07-16 23:45: Horizon 08, MAE: 16.01, RMSE: 28.02, MAPE: 485806.7500%
2023-07-16 23:45: Horizon 09, MAE: 16.33, RMSE: 28.55, MAPE: 484463.0312%
2023-07-16 23:45: Horizon 10, MAE: 16.62, RMSE: 29.01, MAPE: 504766.2188%
2023-07-16 23:45: Horizon 11, MAE: 16.91, RMSE: 29.44, MAPE: 524666.4375%
2023-07-16 23:45: Horizon 12, MAE: 17.34, RMSE: 30.00, MAPE: 539338.6875%
2023-07-16 23:45: MAE: 15.50, RMSE: 27.06, MAPE: 481819.4375%
