2023-05-16 13:36: Experiment log path in: C:\Users\Jesse\Desktop\´ð±ç\Traffic_models\TARGCN_wujing\model\experiments\wujing\20230516133650
2023-05-16 13:36: Horizon 01, MAE: 15.79, RMSE: 20.43, MAPE: 2937804.0000%
2023-05-16 13:36: Horizon 02, MAE: 16.15, RMSE: 21.16, MAPE: 4056593.0000%
2023-05-16 13:36: Horizon 03, MAE: 16.92, RMSE: 22.05, MAPE: 4965969.0000%
2023-05-16 13:36: Horizon 04, MAE: 16.75, RMSE: 21.99, MAPE: 5535219.0000%
2023-05-16 13:36: Horizon 05, MAE: 17.68, RMSE: 23.17, MAPE: 6311683.5000%
2023-05-16 13:36: Horizon 06, MAE: 18.14, RMSE: 23.80, MAPE: 7571622.5000%
2023-05-16 13:36: Horizon 07, MAE: 18.47, RMSE: 24.09, MAPE: 7611527.5000%
2023-05-16 13:36: Horizon 08, MAE: 18.73, RMSE: 24.72, MAPE: 8718823.0000%
2023-05-16 13:36: Horizon 09, MAE: 19.77, RMSE: 25.87, MAPE: 10374620.0000%
2023-05-16 13:36: Horizon 10, MAE: 19.51, RMSE: 25.61, MAPE: 10014600.0000%
2023-05-16 13:36: Horizon 11, MAE: 19.95, RMSE: 26.44, MAPE: 11352310.0000%
2023-05-16 13:36: Horizon 12, MAE: 20.66, RMSE: 27.22, MAPE: 12626289.0000%
2023-05-16 13:36: Average Horizon, MAE: 18.21, RMSE: 23.97, MAPE: 7673089.0000%
