2023-05-22 18:35: Experiment log path in: C:\Users\Jesse\Desktop\´ð±ç\Traffic_models\TARGCN_db\model\experiments\wujing_10_speed\20230522183507
2023-05-22 18:35: Horizon 01, MAE: 3.63, RMSE: 10.44, MAPE: 4.3752%
2023-05-22 18:35: Horizon 02, MAE: 3.98, RMSE: 11.71, MAPE: 4.6559%
2023-05-22 18:35: Horizon 03, MAE: 4.33, RMSE: 12.92, MAPE: 4.8979%
2023-05-22 18:35: Horizon 04, MAE: 4.60, RMSE: 13.68, MAPE: 5.1382%
2023-05-22 18:35: Horizon 05, MAE: 4.80, RMSE: 14.21, MAPE: 5.2859%
2023-05-22 18:35: Horizon 06, MAE: 4.93, RMSE: 14.46, MAPE: 5.4216%
2023-05-22 18:35: Horizon 07, MAE: 5.12, RMSE: 14.86, MAPE: 5.6009%
2023-05-22 18:35: Horizon 08, MAE: 5.35, RMSE: 15.42, MAPE: 5.7675%
2023-05-22 18:35: Horizon 09, MAE: 5.61, RMSE: 16.07, MAPE: 5.9968%
2023-05-22 18:35: Horizon 10, MAE: 5.80, RMSE: 16.48, MAPE: 6.1396%
2023-05-22 18:35: Horizon 11, MAE: 6.07, RMSE: 17.16, MAPE: 6.3396%
2023-05-22 18:35: Horizon 12, MAE: 6.28, RMSE: 17.59, MAPE: 6.5039%
2023-05-22 18:35: MAE: 5.04, RMSE: 14.73, MAPE: 5.5100%
