2023-05-27 15:52: Experiment log path in: C:\Users\Jesse\Desktop\´ð±ç\Traffic_models\TARGCN_db\model\experiments\wujing_5\20230527155233
2023-05-27 15:52: Horizon 01, MAE: 5.50, RMSE: 8.85, MAPE: 22.7304%
2023-05-27 15:52: Horizon 02, MAE: 5.73, RMSE: 9.42, MAPE: 23.3757%
2023-05-27 15:52: Horizon 03, MAE: 5.89, RMSE: 9.93, MAPE: 24.5202%
2023-05-27 15:52: Horizon 04, MAE: 6.04, RMSE: 10.38, MAPE: 24.2534%
2023-05-27 15:52: Horizon 05, MAE: 6.26, RMSE: 10.91, MAPE: 24.5921%
2023-05-27 15:52: Horizon 06, MAE: 6.48, RMSE: 11.47, MAPE: 25.6682%
2023-05-27 15:52: Horizon 07, MAE: 6.67, RMSE: 11.93, MAPE: 25.8732%
2023-05-27 15:52: Horizon 08, MAE: 6.87, RMSE: 12.42, MAPE: 26.2326%
2023-05-27 15:52: Horizon 09, MAE: 7.08, RMSE: 13.02, MAPE: 27.6619%
2023-05-27 15:52: Horizon 10, MAE: 7.32, RMSE: 13.50, MAPE: 27.4023%
2023-05-27 15:52: Horizon 11, MAE: 7.56, RMSE: 14.03, MAPE: 27.9669%
2023-05-27 15:52: Horizon 12, MAE: 7.76, RMSE: 14.58, MAPE: 29.2048%
2023-05-27 15:52: MAE: 6.60, RMSE: 11.84, MAPE: 25.7898%
